# SAMB matrix from C3v.pkl (2026-01-24 10:41:05)
# select
#   site: [('A',[0]),('B',[1])]
#   bond: []
#   X: ['Q','G']
#   l: [0,1,2,3,4,5,6,7,8,9,10,11]
#   Gamma: ['A1','A2','E']
#   s: [0,1]
# basis (12)
#    0 s@A(1): [0.16666667,0.0,0.0]
#    1 s@A(2): [0.0,0.16666667,0.0]
#    2 s@A(3): [-0.16666667,-0.16666667,0.0]
#    3 px@B(1): [-0.66666667,0.0,0.0]
#    4 py@B(1): [-0.66666667,0.0,0.0]
#    5 pz@B(1): [-0.66666667,0.0,0.0]
#    6 px@B(2): [0.0,-0.66666667,0.0]
#    7 py@B(2): [0.0,-0.66666667,0.0]
#    8 pz@B(2): [0.0,-0.66666667,0.0]
#    9 px@B(3): [0.66666667,0.66666667,0.0]
#   10 py@B(3): [0.66666667,0.66666667,0.0]
#   11 pz@B(3): [0.66666667,0.66666667,0.0]
# z3   = 1
# z4   = 1
#
# n1   n2   n3    m    n    re                        im
   0    0    0    3    5     4.082482904638630e-01     0.000000000000000e+00
   0    0    0    5    3     4.082482904638630e-01     0.000000000000000e+00
   0    0    0    6    8    -2.041241452319315e-01     0.000000000000000e+00
   0    0    0    7    8     3.535533905932738e-01     0.000000000000000e+00
   0    0    0    8    6    -2.041241452319315e-01     0.000000000000000e+00
   0    0    0    8    7     3.535533905932738e-01     0.000000000000000e+00
   0    0    0    9   11    -2.041241452319315e-01     0.000000000000000e+00
   0    0    0   10   11    -3.535533905932738e-01     0.000000000000000e+00
   0    0    0   11    9    -2.041241452319315e-01     0.000000000000000e+00
   0    0    0   11   10    -3.535533905932738e-01     0.000000000000000e+00
   0    0    0    3    3    -2.357022603955158e-01     0.000000000000000e+00
   0    0    0    4    4    -2.357022603955158e-01     0.000000000000000e+00
   0    0    0    5    5     4.714045207910317e-01     0.000000000000000e+00
   0    0    0    6    6    -2.357022603955158e-01     0.000000000000000e+00
   0    0    0    7    7    -2.357022603955158e-01     0.000000000000000e+00
   0    0    0    8    8     4.714045207910317e-01     0.000000000000000e+00
   0    0    0    9    9    -2.357022603955158e-01     0.000000000000000e+00
   0    0    0   10   10    -2.357022603955158e-01     0.000000000000000e+00
   0    0    0   11   11     4.714045207910317e-01     0.000000000000000e+00
